Subj,Group,A_Dhs_Ghi_Dm,A_Dhs_Ghi_Lm,A_Dhs_Glo_Dm,A_Dhs_Glo_Lm,A_Lhs_Ghi_Dm,A_Lhs_Ghi_Lm,A_Lhs_Glo_Dm,A_Lhs_Glo_Lm,V_Dhs_Ghi_Dm,V_Dhs_Ghi_Lm,V_Dhs_Glo_Dm,V_Dhs_Glo_Lm,V_Lhs_Ghi_Dm,V_Lhs_Ghi_Lm,V_Lhs_Glo_Dm,V_Lhs_Glo_Lm
31,Scramb1st,1352.9,1508.1,1372.4,1703.3,1297.5,1470,1384.1,1570.3,1382.8,1442.1,1348.7,1588.3,1414.7,1471.9,1281.4,1674
32,Scramb1st,1350.9,1399.6,1325.5,1395.7,1279.1,1435.3,1208,1265.6,1300.9,1627.6,1210.9,1506.8,1334.8,1383.1,1218.8,1267.7
33,Scramb1st,973.01,1148.7,1122.8,1094.7,1043.4,1122.9,1122.8,1140.7,1077.8,1078.6,1239.8,1139.9,1066.4,1087.7,1163.2,1193.8
34,Scramb1st,1001.5,1048.1,1133.7,1203.7,1052.7,1044.4,1117.6,1157.4,1067.4,1089.6,1149,1197.8,992.18,1116.9,1182.3,1192.4
35,Scramb1st,1094,1115.3,1226.4,1401.3,1127.2,1184.4,1262.1,1303.6,1189,1238.4,1203.5,1338,1247.9,1232,1313.4,1392
36,Scramb1st,977.42,1004.9,1007.6,974.3,949.56,1027.7,1023.1,1027.4,1019.7,1016.1,1094.3,1001.8,983.81,1024.7,1014,1014.2
37,Scramb1st,888.89,947.44,1040.8,1015.4,847.75,924.41,1011.2,1103.7,863.52,892.13,1007.9,1094.5,846.5,861.82,988.33,983.91
38,Scramb1st,1309.9,1303.9,1370.7,1396.2,1348.1,1357.5,1326.5,1489.6,1396.3,1398.8,1381.7,1612,1234.8,1329.6,1382.3,1557.1
39,Scramb1st,1076.6,1179.6,1040.7,1175,1149.2,1238.6,1077.6,1073,1070.9,1153.3,1135.6,1094.5,1107.5,1092.4,1060.9,1104.2
40,Scramb1st,1469.5,1699,1455.6,1665.8,1247.4,1734.2,1396.6,1638.3,1389.2,1526.3,1571.3,1795.4,1465.7,1616.3,1540.7,1487.7
41,Scramb1st,939.46,966.89,1024.6,993.76,830.25,965.23,989.16,963.13,911.1,898.17,1020.5,1024.3,848.47,1018.7,974.69,1046.5
42,Scramb1st,916.74,1041.9,866.58,983.38,886.15,1065.7,878.5,1013.6,1075.5,1018.6,889.92,941.41,929.87,977.21,886.87,960.53
43,Scramb1st,1013.2,1009.2,1125.8,1230.1,1063.6,1030.5,1181.8,1202.7,1094.4,1026.2,1319.4,1128.3,1108.3,962.76,1117.6,1081.6
44,Scramb1st,1191.5,1213.1,1206.9,1272.8,1104.9,1275,1126.8,1251.5,1279.9,1366.4,1262.8,1300.5,1187.3,1230.9,1215.7,1217.6
45,Scramb1st,1123.9,1171.6,1157.5,1145.8,1110.1,1182.4,1105.6,1176.7,1177.1,1216,1133.1,1163.3,1136.3,1208.6,1137.1,1151.6
46,Scramb1st,714.53,781.35,826.65,845.64,748.42,764.12,782.61,837.19,744.11,736.2,815.59,832.43,765.95,795.24,799.04,814.52
47,Scramb1st,1287,1407.4,1264.7,1343.4,1247.5,1481.7,1235.6,1324.3,1337.5,1360.4,1302.4,1468.6,1154.8,1443,1181.5,1384.4
48,Scramb1st,1101.3,1195,1140.9,1227.9,1013.4,1265.3,1177.2,1198.3,1172.8,1143.9,1283.6,1174.3,1086.4,1129.7,1108.4,1193.8
49,Scramb1st,1145.8,1112.3,1122.9,1222.4,1032.6,1075.8,1136.6,1180.2,1106.8,1238.4,1144.3,1213,1094.8,1180.6,1166.6,1157.8
50,Scramb1st,922.65,875.75,979.6,968.59,835.1,992.92,842.2,958.42,860.5,923.06,1045.1,963.66,892.65,941.17,1010.9,906.6
51,Scramb1st,905.19,996.45,1000.3,989.51,857.35,941.94,960.95,1059.5,944.66,1057.4,1002.7,1037.8,935.25,951.62,961.7,1037.4
52,Scramb1st,1049.3,1117.5,1089.1,970.35,1002.3,1178.1,1042.7,1163.4,1036,1027.6,1107.3,1251.4,1034.1,1277.5,1111.2,1166.5
53,Scramb1st,1126.1,1044.9,1046.1,1056.4,1090.4,1165.5,1000.7,1195.5,1148.5,1047.6,1183.6,1074.4,1096.1,1125.6,1055.6,1181.2
54,Scramb1st,852.34,838.06,837.74,805.71,861.78,851.6,807.3,772.08,900.92,816.97,882.03,839.5,876.76,802.63,822.17,831.95
55,Scramb1st,918.13,850.89,927.34,993.92,840.44,930.54,921.98,986.28,883.65,899.48,958.33,1015.9,855.25,986.06,969.1,1020.1
56,Scramb1st,1133.3,1228.3,1158.8,1232.7,1135.4,1258.4,1080.2,1207,1188.4,1186.3,1184.2,1296,1082.6,1345.5,1224.8,1291.7
57,Scramb1st,1061,1106.3,1070.4,1010,1044.2,1029.5,1050.9,1035.9,1070.4,1045.6,1085.1,1021.2,983.25,1116.3,1035.1,1081.1
58,Scramb1st,1250.6,1191.4,1165.1,1362.2,1241.5,1414.7,1200.3,1242,1237.7,1245.8,1267.8,1319.2,1089.3,1220.3,1209.4,1180.6
59,Scramb1st,1064.1,1166,1063.3,1195,1037.7,1039.5,1113.2,1132,1116.1,1095.3,1154.3,1220.2,900.2,1162.8,1147.2,1187.7
60,Scramb1st,953.37,1037,1065.2,1092.9,783.16,1080,983.33,1115.5,929.33,1072,1067.4,1008.6,887.08,995.84,1043,1074.3
1,Scramb2nd,972.06,1005.3,902.26,943.9,904.55,1000.5,998.38,970.28,945.56,990.4,1021.1,1025.5,962.1,979.65,962.42,987.43
2,Scramb2nd,803.83,872.45,966.26,1003.8,847.9,880.31,1040,1072.9,916.15,857.22,1090.4,1038.5,884.03,862.2,1006.8,1091.2
3,Scramb2nd,806.75,794.34,900.99,774.11,759.17,803.74,827.42,878.06,824.53,817.19,866.5,848.99,749.92,877.5,832.68,910.99
4,Scramb2nd,665.44,739.5,842.14,761.88,686.55,732.85,853.52,871.82,761.78,809.05,899.66,772.89,674.58,718.45,813.17,864.76
5,Scramb2nd,816.33,806.54,812.41,841.29,738.25,837.36,761.44,876.88,843.72,778.35,815.29,929.98,790.76,819.7,845.43,860
6,Scramb2nd,783.71,822.78,878.67,839.94,821.18,794.7,853.3,879.35,829.44,862.76,972.52,858.54,824.02,854.87,919.96,861.72
7,Scramb2nd,990.4,1167,1205.2,1262,1055.5,1141.6,1221.1,1202.9,1113.7,1058.6,1472.9,1071.3,1011.6,1136.3,1322.6,1135
8,Scramb2nd,1262.1,1400.1,1410.7,1734.7,1147.7,1279.3,1289.6,1269.1,1203.9,1322.5,1447.4,1422,1250.6,1173.9,1373.6,1344.8
9,Scramb2nd,918.11,867.74,975.29,942.49,825.87,919.76,924.85,956.89,806.58,822.92,941.3,994.66,831.69,887.41,915.76,991.24
10,Scramb2nd,1102.1,958.21,1125.7,1132.9,1013.8,1077.5,1026.7,1148.5,977.72,1009.8,1020.9,964.58,967.9,1088.1,1025.1,1093.4
11,Scramb2nd,1055.1,1061,1055.8,1137.5,948.54,1123.4,1081.9,1133.6,1096.8,946.32,1220.5,1076.2,1044,1041.8,1171.7,1155.2
12,Scramb2nd,791.62,796.8,999.52,1052.8,835.83,817.82,971.58,1039.6,837.26,837.24,1047,1050.5,785.28,874.13,987.9,1059.6
13,Scramb2nd,886.32,1012.1,1054.8,921.65,823.38,1013.9,909.98,940.66,946.41,896.82,955.21,1009.3,914.31,975.03,1036.4,975.94
14,Scramb2nd,1014.1,1182.8,1069.1,1043.8,925.18,1063,1072,1120.3,930.65,1007.6,1092,979.16,1027.2,1029.3,1095.9,1019.9
15,Scramb2nd,770.21,872.16,886.84,940.82,779.66,868.78,790.56,915,823.69,838.89,851.71,868.33,765.78,788.55,815.05,880.2
16,Scramb2nd,764.29,768.19,746.92,747.97,779.56,786.07,779.16,827.78,793.64,749.29,782.23,739.83,837.7,703,765.8,767.02
17,Scramb2nd,790.86,721.14,1006.1,905.45,803.42,765.18,937.27,927.68,883.51,811.47,1011.8,851.73,694.32,775.48,990.26,988.68
18,Scramb2nd,1237.7,1337.1,1337.1,1319.1,1263.4,1324,1295,1354.6,1234.6,1360.9,1357.1,1421.6,1257.1,1343,1278,1395.8
19,Scramb2nd,940.88,902.3,1007.9,945.38,831.94,1054.6,1046.3,1014.8,953.4,925.77,1062.9,964.77,855.15,950.95,999.07,967.57
20,Scramb2nd,825.93,840.56,802.62,836.88,785.28,826.29,759.82,788.74,864.17,776.42,839.61,765.68,794.96,895.07,754.27,810.69
21,Scramb2nd,831.47,861.27,730.53,750.12,813.59,836.12,723.12,720.52,849.75,811.71,759.12,756.96,822.59,811.91,731.84,734.65
22,Scramb2nd,865.7,1117.8,1086.1,1183,1032.6,1047.2,998.88,1163.5,980.75,1013.5,1117.1,1127,923.75,1120,1024.6,1133.2
23,Scramb2nd,841.11,793.45,897.27,879.18,747.15,857.03,845.59,883.05,774.53,822.73,909.08,859.92,724.62,877.4,815.28,906.58
24,Scramb2nd,957.67,887.58,1014.3,994.34,848.98,948.8,1078.3,1102.1,825.64,893.53,1051,1078.6,859.2,868.68,1012.5,1031.5
25,Scramb2nd,864.71,930.82,1168.5,1177.5,850.89,860.25,986.29,1211.4,830.56,963.42,1070.5,1152.8,829.32,972.89,1049,1225.3
26,Scramb2nd,650.58,660.07,674.54,686.79,641.59,694.84,646.25,677.24,617.19,641.06,686.17,679.47,630.41,717.1,695.25,728.73
27,Scramb2nd,1062.2,1142.4,1036.7,1136.7,997.53,1154.4,976.36,1168.2,1177.1,1201.1,1297.2,1276.8,1086.7,1142.4,1186.4,1327.4
28,Scramb2nd,862.9,856.36,930.33,881.38,817.85,874.33,846.25,936.22,868.35,825.92,937.99,909.69,859.55,854.71,899.72,957.02
29,Scramb2nd,871.33,890.12,851.7,918.2,889.22,956.95,841.53,872.14,808.39,900.88,969.23,860.52,778.58,850.07,847.64,942.91
30,Scramb2nd,907,884.79,942.72,938.06,863.19,957.51,932.2,926.92,848.17,897.92,921.88,958.21,769.18,972.61,947.39,1040.5